Disease,Symptoms,Description,Medication,Diets,Workout,Precautions
Hypertension,"headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration","Hypertension, or high blood pressure, is a common cardiovascular condition.","['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","['DASH Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",Consult a healthcare professional,"meditation, salt baths, reduce stress, get proper sleep"
Migraine,"acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']","['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']",Manage stress,"meditation, reduce stress, use poloroid glasses in sun, consult doctor"
Cervical spondylosis,"back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance",Cervical spondylosis is a degenerative condition of the cervical spine.,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",Engage in regular exercise,"use heating pad or cold pack, exercise, take otc pain reliver, consult doctor"
Paralysis (brain hemorrhage),"vomiting, headache, weakness_of_one_body_side, altered_sensorium",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",Manage stress,"massage, eat healthy, exercise, consult doctor"
Jaundice,"itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",Gradually resume normal diet,"drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication"
Malaria,"chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain, diarrhoea",Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']","['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']",Gradually resume normal diet,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out"
Chicken pox,"itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes, malaise, red_spots_over_body",Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']","['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"use neem in bathing , consume neem leaves, take vaccine, avoid public places"
Dengue,"skin_rash, chills, joint_pain, vomiting, fatigue, high_fever, headache, nausea, loss_of_appetite, pain_behind_the_eyes, back_pain, muscle_pain, red_spots_over_body, malaise",Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']","['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']",Follow medical recommendations,"drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated"
Typhoid,"chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain, headache",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Typhoid Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Avoid alcohol and caffeine,"eat high calorie vegitables, antiboitic therapy, consult doctor, medication"
hepatitis A,"joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain",hepatitis A is a viral liver disease.,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']","['Hepatitis A Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication"
Hepatitis B,"itching, fatigue, lethargy, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, yellow_urine, yellowing_of_eyes, malaise, receiving_blood_transfusion, receiving_unsterile_injections",Hepatitis B is a viral infection that attacks the liver.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis B Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"consult nearest hospital, vaccination, eat healthy, medication"
Hepatitis C,"fatigue, yellowish_skin, nausea, loss_of_appetite, family_history, yellowing_of_eyes",Hepatitis C is a viral infection that causes liver inflammation.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis C Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"Consult nearest hospital, vaccination, eat healthy, medication"
Hepatitis D,"joint_pain, vomiting, fatigue, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes",Hepatitis D is a serious liver disease caused by the hepatitis D virus.,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']","['Hepatitis D Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"consult doctor, medication, eat healthy, follow up"
Hepatitis E,"joint_pain, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, coma, stomach_bleeding, acute_liver_failure",Hepatitis E is a viral infection that causes liver inflammation.,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']","['Hepatitis E Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Gradually resume normal diet,"stop alcohol consumption, rest, consult doctor, medication"
Alcoholic hepatitis,"vomiting, yellowish_skin, abdominal_pain, fluid_overload, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption",Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",Gradually resume normal diet,"stop alcohol consumption, consult doctor, medication, follow up"
Tuberculosis,"chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum",Tuberculosis is a bacterial infection that primarily affects the lungs.,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']","['TB Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Follow medical recommendations,"cover mouth, consult doctor, medication, rest"
Common Cold,"continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain",Common Cold is a viral infection of the upper respiratory tract.,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']","['Cold Diet', 'Hydration', 'Warm fluids', 'Rest', 'Honey and lemon tea']",Follow medical recommendations,"drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check"
Pneumonia,"chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum, phlegm",Pneumonia is an inflammatory condition affecting the air sacs in the lungs.,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']","['Pneumonia Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']",Follow medical recommendations,"consult doctor, medication, rest, follow up"
Dimorphic hemmorhoids(piles),"constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus",Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.,"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']","['Hemorrhoids Diet', 'High-Fiber Diet', 'Hydration', 'Warm baths', 'Stool softeners']",Follow medical recommendations,"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice"
Heart attack,"vomiting, breathlessness, sweating, chest_pain",Heart attack is a sudden and severe reduction in blood flow to the heart muscle.,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']","['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",Engage in regular exercise,"call ambulance, chew or swallow asprin, keep calm"
Varicose veins,"fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf","Varicose veins are enlarged, twisted veins that usually appear on the legs.","['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']","['Varicose Veins Diet', 'High-Fiber Diet', 'Fruits and vegetables', 'Whole grains', 'Low-sodium foods']",Engage in regular exercise,"lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long"
Hypothyroidism,"fatigue, weight_gain, cold_hands_and_feets, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremeties, depression, irritability, abnormal_menstruation",Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']","['Hypothyroidism Diet', 'Iodine-rich foods', 'Selenium-rich foods', 'Fruits and vegetables', 'Whole grains']",Engage in regular exercise,"reduce stress, exercise, eat healthy, get proper sleep"
Hyperthyroidism,"fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation",Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']","['Hyperthyroidism Diet', 'Low-Iodine Diet', 'Calcium-rich foods', 'Selenium-rich foods', 'Fruits and vegetables']",Engage in regular exercise,"eat healthy, massage, use lemon balm, take radioactive iodine treatment"
Hypoglycemia,"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations, drying_and_tingling_lips",Hypoglycemia is a condition characterized by abnormally low blood sugar levels.,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']","['Hypoglycemia Diet', 'Complex carbohydrates', 'Protein-rich snacks', 'Fiber-rich foods', 'Healthy fats']",Limit alcohol intake,"lie down on side, check in pulse, drink sugary drinks, consult doctor"
Osteoarthristis,"joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking",Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",Maintain a healthy weight,"acetaminophen, consult nearest hospital, follow up, salt baths"
Arthritis,"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking","Arthritis is inflammation of one or more joints, causing pain and stiffness.","['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']","['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",Maintain a healthy weight,"exercise, use hot and cold therapy, try acupuncture, massage"
(vertigo) Paroymsal  Positional Vertigo,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness",,,,Limit caffeine and stimulants,"lie down, avoid sudden change in body, avoid abrupt head movment, relax"
Acne,"skin_rash, pus_filled_pimples, blackheads, scurring",Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']","['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']",Follow medical recommendations,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products"
Urinary tract infection,"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",Urinary tract infection is an infection in any part of the urinary system.,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']","['UTI Diet', 'Hydration', 'Cranberry juice', 'Probiotics', 'Vitamin C-rich foods']",Limit sugary foods and beverages,"drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics"
Psoriasis,"skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails","Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches.","['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']","['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']",Consider phototherapy under medical guidance,"wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths"
Impetigo,"skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze",Impetigo is a highly contagious skin infection causing red sores that can break open.,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']","['Impetigo Diet', 'Antibiotic treatment', 'Fruits and vegetables', 'Hydration', 'Protein-rich foods']",Practice wound care,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor"
COVID-19,"fever, dry_cough, tiredness, loss_of_taste_or_smell, sore_throat, difficulty_breathing",COVID-19 is an infectious disease caused by the SARS-CoV-2 virus.,"['Antipyretics', 'Cough syrup', 'Antiviral drugs', 'Steroids (severe cases)']","['High-Protein Diet', 'Hydration', 'Vitamin C and D rich foods', 'Zinc supplements']",Light stretching and breathing exercises,"isolate yourself, wear a mask, wash hands frequently, monitor oxygen levels"
Anemia,"fatigue, weakness, pale_skin, chest_pain, cold_hands_and_feet, dizziness",Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.,"['Iron supplements', 'Vitamin B12 supplements', 'Folic acid supplements', 'Erythropoietin']","['Iron-rich foods (spinach, red meat)', 'Vitamin C-rich foods', 'Vitamin B12 rich foods']",Light aerobic exercise like walking,"consult doctor, regular blood tests, avoid tea/coffee with meals"
Insomnia,"difficulty_falling_asleep, waking_up_too_early, daytime_tiredness, irritability, anxiety","Insomnia is a common sleep disorder that can make it hard to fall asleep, hard to stay asleep, or cause you to wake up too early.","['Melatonin', 'Sedative-hypnotics', 'Antidepressants', 'Antihistamines']","['Warm milk', 'Chamomile tea', 'Kiwi', 'Almonds', 'Avoid caffeine']",Yoga and meditation before bed,"follow stick sleep schedule, avoid screens before bed, create comfortable sleep environment"
Food Poisoning,"nausea, vomiting, watery_diarrhea, fever, abdominal_pain, stomach_cramps","Food poisoning, also called foodborne illness, is caused by eating contaminated, spoiled, or toxic food.","['Oral rehydration salts', 'Antibiotics (for bacterial)', 'Probiotics', 'Antidiarrheals']","['BRAT Diet (Bananas, Rice, Applesauce, Toast)', 'Clear broths', 'Hydration']",Rest and avoid strenuous activity,"drink plenty of fluids, wash hands, avoid solid foods initially, rest"
Vitamin D Deficiency,"fatigue, bone_pain, muscle_weakness, mood_changes, depression","Vitamin D deficiency can lead to loss of bone density, which can contribute to osteoporosis and fractures.","['Vitamin D supplements', 'Calcium supplements', 'Calcifediol']","['Fatty fish (salmon, tuna)', 'Egg yolks', 'Mushrooms', 'Fortified foods']",Outdoor activities in sunlight,"get sunlight exposure, take supplements as prescribed, regular checkups"
Allergic Rhinitis,"sneezing, runny_nose, itchy_eyes, congestion, sinus_pressure","Allergic rhinitis, or hay fever, is an allergic response to specific allergens.","['Antihistamines', 'Decongestants', 'Nasal corticosteroids', 'Saline nasal sprays']","['Anti-inflammatory foods', 'Ginger', 'Turmeric', 'Local honey']",Indoor exercises during high pollen,"avoid allergens, use air purifiers, keep windows closed during pollen season"
Dehydration,"thirst, dark_yellow_urine, dry_mouth, fatigue, dizziness, confusion",Dehydration occurs when you use or lose more fluid than you take in.,"['Oral rehydration solution', 'Electrolyte drinks', 'IV fluids (severe)']","['Water-rich fruits (watermelon, cucumber)', 'Coconut water', 'Broths']",Avoid exercise until rehydrated,"drink water frequently, avoid excessive caffeine, monitor urine color"
